epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,17314.8,0.42589,0.58237,0.99483,0.88621,0.88288,0.95314,0.76866,0.88391,0.88077,1.31991,6.9264e-05,6.9264e-05,6.9264e-05
42,17744.7,0.41891,0.53062,0.98082,0.93974,0.86058,0.95647,0.77327,0.84729,0.85642,1.28394,6.26706e-05,6.26706e-05,6.26706e-05
43,18173.2,0.40756,0.51471,0.97323,0.94069,0.88288,0.96026,0.78182,0.84197,0.82047,1.28059,5.60772e-05,5.60772e-05,5.60772e-05
44,18602.2,0.40058,0.50554,0.97362,0.89118,0.89924,0.96203,0.79874,0.78077,0.79263,1.2115,4.94838e-05,4.94838e-05,4.94838e-05
45,19029.6,0.39617,0.49163,0.95973,0.94525,0.87806,0.96444,0.79215,0.82667,0.75305,1.2617,4.28904e-05,4.28904e-05,4.28904e-05
46,19445.3,0.39155,0.48246,0.95581,0.93542,0.90082,0.96635,0.79198,0.83549,0.74182,1.28524,3.6297e-05,3.6297e-05,3.6297e-05
47,19859.6,0.38587,0.46758,0.94789,0.94069,0.90078,0.96525,0.79527,0.81211,0.72923,1.25712,2.97036e-05,2.97036e-05,2.97036e-05
48,20269.7,0.37693,0.46918,0.95444,0.9424,0.89542,0.96423,0.7861,0.85445,0.73589,1.30013,2.31102e-05,2.31102e-05,2.31102e-05
49,20711.2,0.37412,0.46848,0.95246,0.93426,0.90129,0.96753,0.80038,0.81574,0.72632,1.25842,1.65168e-05,1.65168e-05,1.65168e-05
50,21151.6,0.37202,0.45747,0.95136,0.95628,0.88721,0.96411,0.80489,0.77331,0.7102,1.21248,9.9234e-06,9.9234e-06,9.9234e-06
